algorithm-1,algorithm-2,algorithm-3,algorithm-4,n^3,n^2,nLogn,n
1.6040325164794923e-05,6.848335266113281e-06,8.322715759277344e-06,2.107143402099609e-06,n^3,n^2,nLogn,n
3.644704818725586e-05,1.355123519897461e-05,1.3264656066894532e-05,2.603054046630859e-06,n^3,n^2,nLogn,n
6.946039199829102e-05,2.094697952270508e-05,1.830911636352539e-05,3.0946731567382814e-06,n^3,n^2,nLogn,n
0.0001207113265991211,3.1628131866455075e-05,2.3454666137695314e-05,3.828048706054688e-06,n^3,n^2,nLogn,n
0.00017850065231323243,4.3623924255371096e-05,2.8725147247314453e-05,4.593849182128906e-06,n^3,n^2,nLogn,n
0.0002709827423095703,5.9226512908935544e-05,3.487348556518555e-05,5.3358078002929685e-06,n^3,n^2,nLogn,n
0.0003807787895202637,7.751798629760743e-05,4.313373565673828e-05,6.224155426025391e-06,n^3,n^2,nLogn,n
0.0005390973091125488,9.603309631347656e-05,4.615116119384766e-05,6.561279296875e-06,n^3,n^2,nLogn,n
0.0007398104667663574,0.00012004899978637695,5.171060562133789e-05,7.470607757568359e-06,n^3,n^2,nLogn,n
0.0009315080642700195,0.00014381790161132813,5.826473236083984e-05,7.944583892822266e-06,n^3,n^2,nLogn,n
0.0011785483360290526,0.00016628503799438478,6.35819435119629e-05,8.897781372070313e-06,n^3,n^2,nLogn,n
0.0014584460258483887,0.00019437313079833984,6.95047378540039e-05,9.788036346435547e-06,n^3,n^2,nLogn,n
0.0017174663543701172,0.00022406005859375,8.768177032470703e-05,1.2290477752685546e-05,n^3,n^2,nLogn,n
0.0021336517333984373,0.00026107025146484376,8.380651473999023e-05,1.1234283447265624e-05,n^3,n^2,nLogn,n
0.002606834888458252,0.00029677867889404296,9.097051620483398e-05,1.2238025665283203e-05,n^3,n^2,nLogn,n
0.0030079078674316406,0.00034848546981811523,9.846353530883789e-05,1.3180732727050781e-05,n^3,n^2,nLogn,n
0.0034919352531433104,0.00036581850051879884,0.00010092592239379883,1.3048648834228515e-05,n^3,n^2,nLogn,n
0.004181238174438476,0.0004376091957092285,0.00010881567001342774,1.669597625732422e-05,n^3,n^2,nLogn,n
0.0051559929847717284,0.0004696660041809082,0.00011614465713500977,1.465892791748047e-05,n^3,n^2,nLogn,n
